,label,PCA_feature_3,PCA_feature_127,PCA_feature_129,PCA_feature_134,PCA_feature_142,PCA_feature_146,PCA_feature_147,PCA_feature_162,PCA_feature_163
45,1.0,3.7306562849714417,3.885780586188048e-16,-6.938893903907228e-17,-7.251144129583054e-16,-2.7755575615628914e-17,-7.37257477290143e-17,4.0939474033052647e-16,4.5102810375396984e-17,2.8449465006019636e-16
45,0.0,-3.7850174250861555,2.0643209364124004e-16,-2.7582103268031233e-16,2.194425197110661e-16,-2.411265631607762e-16,-8.101158632811689e-16,1.9949319973733282e-16,-4.518954654919582e-16,-9.194034422677078e-17
46,0.0,-1.9732903808378064,2.1510571102112408e-16,-2.7755575615628914e-17,-1.2836953722228372e-16,9.540979117872439e-17,-6.331740687315346e-17,-1.0061396160665481e-16,2.636779683484747e-16,-1.97758476261356e-16
46,1.0,1.1588416586899344,5.863365348801608e-16,-3.9898639947466563e-16,2.0816681711721685e-17,1.1622647289044608e-16,-7.806255641895632e-17,-2.0816681711721685e-17,2.2638141361497333e-16,-6.245004513516506e-17
47,1.0,2.919337635939918,5.898059818321144e-16,-2.42861286636753e-17,-2.3245294578089215e-16,1.8041124150158794e-16,1.9081958235744878e-16,3.5388358909926865e-16,2.480654570646834e-16,2.1510571102112408e-16
48,1.0,-0.83093877010341,3.8163916471489756e-16,-3.209238430557093e-17,-8.326672684688674e-17,7.979727989493313e-17,1.196959198423997e-16,7.632783294297951e-17,3.157196726277789e-16,1.491862189340054e-16
48,0.0,-2.4636054481524607,-1.249000902703301e-16,-7.025630077706069e-17,-4.926614671774132e-16,3.469446951953614e-18,1.682681771697503e-16,3.122502256758253e-16,-2.0816681711721685e-16,-1.3357370765021415e-16
49,1.0,0.9392620658263623,3.469446951953614e-16,-2.671474153004283e-16,-3.2439329000766293e-16,7.077671781985373e-16,3.5735303605122226e-16,3.2612801348363973e-16,5.759281940243e-16,7.28583859910259e-17
49,0.0,4.959940105055295,2.706168622523819e-16,-4.718447854656915e-16,3.5041414214731503e-16,-2.992397996059992e-16,-1.3740907283538162e-16,3.677613769070831e-16,3.729655473350135e-17,2.636779683484747e-16
51,1.0,0.5013562898458179,5.759281940243e-16,4.939625097843958e-16,-7.979727989493313e-17,1.8735013540549517e-16,-2.7755575615628914e-17,4.85722573273506e-17,2.185751579730777e-16,3.2959746043559335e-17
51,0.0,-2.430627572471841,5.447031714567174e-16,-1.0755285551056204e-16,2.3418766925686896e-16,0.0,-2.723515857283587e-16,-3.7470027081099033e-16,-3.972516759986888e-16,-3.3393426912553537e-16
52,1.0,2.815369036504693,8.049116928532385e-16,6.4791921827733745e-16,-5.412337245047638e-16,-3.0531133177191805e-16,3.8510861166685117e-16,7.112366251504909e-17,1.491862189340054e-16,3.9898639947466563e-17
52,0.0,-2.0452593868998914,4.3021142204224816e-16,-6.973588373426765e-16,2.3418766925686896e-16,-1.214306433183765e-16,-1.942890293094024e-16,-6.938893903907228e-18,-1.3704315460216776e-16,-2.740863092043355e-16
53,0.0,-4.679350468707561,-2.706168622523819e-16,-6.609296443471635e-16,4.683753385137379e-16,7.979727989493313e-17,1.5959455978986625e-16,-5.915407053080912e-16,-7.73686670285656e-16,1.734723475976807e-17
53,1.0,1.1583702953228703,-4.649058915617843e-16,-1.3686968225457008e-15,1.1084883011491797e-15,-5.741934705483231e-16,7.735782500684074e-17,1.3877787807814457e-17,3.191891195797325e-16,3.920475055707584e-16
54,0.0,-0.25102754051925585,5.863365348801608e-16,2.2898349882893854e-16,-2.8362728832220796e-16,-1.973247953923618e-17,-1.5612511283791264e-16,-5.724587470723463e-17,-2.0469737016526324e-16,1.0408340855860843e-17
54,1.0,0.3103138154520919,1.5265566588595902e-16,4.371503159461554e-16,-2.5240226575462543e-16,-6.158268339717665e-17,-1.5067699692117298e-16,-1.1622647289044608e-16,2.914335439641036e-16,2.42861286636753e-17
55,0.0,-2.293024805022901,1.3877787807814457e-16,-1.942890293094024e-16,-2.740863092043355e-16,8.326672684688674e-17,2.47198095326695e-17,0.0,6.418476861114186e-17,2.0469737016526324e-16
56,0.0,-0.6536827857406553,-3.469446951953614e-18,-1.6653345369377348e-16,-1.9081958235744878e-16,-5.898059818321144e-17,-2.636779683484747e-16,-2.0469737016526324e-16,-1.734723475976807e-16,-1.734723475976807e-17
57,1.0,0.7506462945407937,-1.734723475976807e-17,3.194059600142296e-16,-5.0133508455729725e-16,7.788908407135864e-16,-2.185751579730777e-16,1.3530843112619095e-16,1.97758476261356e-16,2.1684043449710089e-16
58,0.0,1.9167867055045147,8.673617379884035e-16,-4.475586568020162e-16,-2.5673907444456745e-16,-1.5265566588595902e-16,2.723515857283587e-16,1.457167719820518e-16,-2.7582103268031233e-16,-3.122502256758253e-17
59,1.0,1.5696606092391499,-2.1337098754514727e-16,6.175615574477433e-16,-2.0469737016526324e-16,2.0816681711721685e-17,-1.5959455978986625e-16,-4.2327252813834093e-16,1.6653345369377348e-16,4.9439619065339e-16
60,0.0,-0.30117856718289243,5.2562121322097255e-16,5.828670879282072e-16,9.367506770274758e-17,1.5265566588595902e-16,1.5959455978986625e-16,6.245004513516506e-16,1.0061396160665481e-16,-6.418476861114186e-16
60,1.0,1.1282279162019897,4.163336342344337e-16,1.5785983631388945e-16,-1.0408340855860843e-16,-8.326672684688674e-17,-9.367506770274758e-17,4.5102810375396984e-17,-5.551115123125783e-17,1.5092094240998222e-16
61,1.0,-0.416084114004904,2.6020852139652106e-16,1.8735013540549517e-16,3.165870343657673e-17,1.734723475976807e-17,-1.0928757898653885e-16,3.0531133177191805e-16,7.754213937616328e-16,-1.2836953722228372e-16
62,0.0,0.27766025760776397,9.367506770274758e-17,5.0090140368830305e-17,-4.206704429243757e-16,1.8626593323300966e-16,7.632783294297951e-17,-1.4224732503009818e-16,-2.0339632755828063e-16,4.3042826247674526e-17
63,0.0,-3.6579789411552377,-1.249000902703301e-16,-5.741934705483231e-16,-5.421010862427522e-18,-6.938893903907228e-17,-3.9193908535350985e-17,-9.020562075079397e-17,-3.139849491518021e-16,-1.1102230246251565e-16
64,0.0,8.530482104005054,1.0408340855860843e-15,1.2871648191747909e-15,-4.701100619897147e-16,3.469446951953614e-18,2.222614453595284e-16,9.159339953157541e-16,-1.6458188978329957e-16,6.010816844259637e-16
66,0.0,-1.3003343504424671,5.724587470723463e-16,-3.5908775952719907e-16,1.0668549377257364e-16,-5.134781488891349e-16,3.86843335142828e-16,-2.7755575615628914e-17,3.469446951953614e-18,-1.8041124150158794e-16
68,0.0,0.9952947084228988,-3.677613769070831e-16,6.106226635438361e-16,2.6020852139652106e-17,1.5959455978986625e-16,-2.498001805406602e-16,3.122502256758253e-16,-6.175615574477433e-16,-1.249000902703301e-16
69,0.0,-2.806212004847997,-4.961309141293668e-16,1.6306400674181987e-16,2.738694687698384e-16,7.632783294297951e-17,-9.71445146547012e-17,1.457167719820518e-16,-2.3245294578089215e-16,-9.996344030316351e-17
71,0.0,-2.5685790132490633,7.112366251504909e-17,3.174543961037557e-16,2.0946785972419946e-16,-5.204170427930421e-18,1.4224732503009818e-16,-2.7755575615628914e-16,-1.3704315460216776e-16,-2.2453826992174797e-16
74,0.0,-1.3268033993747892,2.42861286636753e-16,-7.771561172376096e-16,-7.632783294297951e-17,-2.0816681711721685e-17,5.603156827405087e-16,1.1796119636642288e-16,-1.5612511283791264e-17,6.938893903907228e-18
75,0.0,-1.442742706336765,2.0556473190325164e-16,6.938893903907228e-18,-1.8561541192951836e-16,-7.45931094670027e-17,0.0,-2.6194324487249787e-16,-1.8561541192951836e-16,3.469446951953614e-17
76,0.0,-4.643502763434583,-4.163336342344337e-16,-2.706168622523819e-16,3.2786273695961654e-16,-3.2959746043559335e-16,-2.1575623232461538e-16,-4.2674197509029455e-16,-4.371503159461554e-16,-2.6020852139652106e-16
77,0.0,-4.910406950892955,-4.822531263215524e-16,-4.996003610813204e-16,1.5612511283791264e-16,7.28583859910259e-17,-3.95516952522712e-16,-3.885780586188048e-16,-8.777700788442644e-16,-1.1275702593849246e-16
79,0.0,-0.3484953100349927,3.8163916471489756e-17,-1.1119577481011333e-15,1.2888995426507677e-15,-1.9949319973733282e-16,-2.0816681711721685e-16,-2.42861286636753e-16,-6.626643678231403e-16,-3.1138286393783687e-16
80,0.0,0.5352824418166727,-1.1102230246251565e-16,1.97758476261356e-16,4.5102810375396984e-17,4.2327252813834093e-16,-5.065392549852277e-16,-9.71445146547012e-17,-5.585809592645319e-16,-1.93421667571414e-16
81,0.0,-1.0058425501455301,5.585809592645319e-16,1.3444106938820255e-16,-7.28583859910259e-17,-3.5735303605122226e-16,-1.734723475976807e-17,-1.3877787807814457e-16,-3.469446951953614e-17,-1.8041124150158794e-16
82,0.0,-1.9497451137264314,-1.1102230246251565e-16,3.139849491518021e-16,3.191891195797325e-16,-7.632783294297951e-17,8.326672684688674e-17,2.220446049250313e-16,-1.5300261058115439e-15,-3.920475055707584e-16
83,0.0,-0.07882261059996085,1.0061396160665481e-15,-5.793976409762536e-16,7.615436059538183e-16,-8.81239525796218e-16,2.6194324487249787e-16,1.1796119636642288e-16,-7.112366251504909e-17,2.237793284010081e-16
84,0.0,0.2525158037261868,9.020562075079397e-17,1.1839487723541708e-16,1.457167719820518e-16,-3.95516952522712e-16,-2.220446049250313e-16,2.914335439641036e-16,-8.187894806610529e-16,-3.8337388819087437e-16
85,0.0,1.2391920884794358,7.320533068622126e-16,5.204170427930421e-18,-1.1102230246251565e-16,-2.463307335887066e-16,1.1188966420050406e-16,6.938893903907228e-17,1.474514954580286e-16,-6.071532165918825e-17
86,0.0,-2.1047143381605524,-1.5959455978986625e-16,4.926614671774132e-16,-6.245004513516506e-17,8.326672684688674e-17,-2.706168622523819e-16,-1.5265566588595902e-16,-3.2612801348363973e-16,-1.214306433183765e-16
87,0.0,-5.36007985078661,-8.604228440844963e-16,-8.743006318923108e-16,-8.326672684688674e-17,2.5326962749261384e-16,-2.740863092043355e-16,8.326672684688674e-17,-8.98586760555986e-16,-3.2959746043559335e-16
88,0.0,-1.1140144583731824,1.5612511283791264e-16,-3.0184188481996443e-16,-1.2836953722228372e-16,-3.365363543395006e-16,1.5525775109992423e-16,-3.686287386450715e-16,-1.465841337200402e-16,1.474514954580286e-16
90,0.0,-1.40644489607648,3.0531133177191805e-16,-1.4224732503009818e-16,2.393918396847994e-16,-2.7755575615628914e-17,1.734723475976807e-16,1.942890293094024e-16,1.700029006457271e-16,4.336808689942018e-17
91,0.0,-4.6119159773951255,-6.002143226879753e-16,-1.951563910473908e-16,5.134781488891349e-16,-3.0184188481996443e-16,-2.8102520310824275e-16,-5.689893001203927e-16,-8.118505867571457e-16,1.0408340855860843e-17
96,0.0,1.9325894980278475,5.689893001203927e-16,1.734723475976807e-17,4.5102810375396984e-17,-4.3021142204224816e-16,7.632783294297951e-17,2.7755575615628914e-17,-2.688821387764051e-16,4.163336342344337e-17
98,0.0,2.485603698832743,9.922618282587337e-16,2.8449465006019636e-16,-3.469446951953614e-17,2.398255205537936e-16,1.4224732503009818e-16,3.400058012914542e-16,2.740863092043355e-16,-1.6089560239684886e-16
99,0.0,-3.5757934611834026,-2.7755575615628914e-16,-7.494005416219807e-16,-1.0755285551056204e-16,2.1467203015212988e-16,9.77950359581925e-17,1.1796119636642288e-16,-3.443426099813962e-16,-1.249000902703301e-16
100,0.0,-0.868627073748111,5.863365348801608e-16,-9.93129189996722e-17,-2.0816681711721685e-16,-1.8388068845354155e-16,1.6371452804531117e-16,8.326672684688674e-17,4.3368086899420177e-16,-1.1275702593849246e-16
101,0.0,-1.789871155902223,2.3592239273284576e-16,-9.332812300755222e-16,4.3021142204224816e-16,1.0928757898653885e-16,-1.0668549377257364e-16,-4.163336342344337e-17,1.222980050563649e-16,-5.204170427930421e-18
102,0.0,-3.9587038088478685,-9.783840404509192e-16,-2.983724378680108e-16,2.2898349882893854e-16,2.3245294578089215e-16,-1.2663481374630692e-16,-3.5735303605122226e-16,-3.642919299551295e-16,-3.7816971776294395e-16
103,0.0,-1.2664986715614166,-2.983724378680108e-16,-1.7515286096503324e-16,-7.28583859910259e-17,1.8951853975046618e-16,-4.0939474033052647e-16,-5.065392549852277e-16,-2.727852665973529e-16,9.107298248878237e-17
105,0.0,-1.7999832773603321,-1.1102230246251565e-16,-4.163336342344337e-17,4.308077332371152e-16,-2.5500435096859064e-16,-2.1337098754514727e-16,-3.608224830031759e-16,-3.2959746043559335e-16,1.3877787807814457e-17
107,0.0,-2.3046587229519004,1.214306433183765e-16,-2.6020852139652106e-18,-5.551115123125783e-17,3.8163916471489756e-17,-1.0408340855860843e-16,-1.0061396160665481e-16,4.5102810375396984e-17,-1.734723475976807e-16
108,0.0,-1.1752793658347322,-5.620504062164855e-16,7.988401606873197e-16,-4.787836793695988e-16,-4.614364446098307e-16,1.1102230246251565e-16,3.608224830031759e-16,5.967448757360216e-16,6.049848122469115e-16
110,0.0,0.45569503559109126,6.522560269672795e-16,2.3071822230491534e-16,-2.7582103268031233e-16,-1.231653667943533e-16,-1.5612511283791264e-16,1.0408340855860843e-17,-2.914335439641036e-16,5.898059818321144e-17
114,0.0,-0.3533614901043498,-1.3877787807814457e-17,-2.259477327459791e-16,-1.9081958235744878e-16,-4.484260185400046e-16,4.5102810375396984e-17,6.036837696399289e-16,7.355227538141662e-16,9.8879238130678e-17
117,0.0,-0.537070283188053,6.591949208711867e-17,-1.5612511283791264e-16,1.1188966420050406e-16,1.682681771697503e-16,-2.671474153004283e-16,4.5102810375396984e-17,5.100087019371813e-16,1.1319070680748666e-16
118,0.0,-3.183170974016746,-2.42861286636753e-17,-3.4867941867133823e-16,1.5439038936193583e-16,-6.071532165918825e-17,-1.6479873021779667e-16,-5.863365348801608e-16,1.9081958235744878e-16,-1.4311468676808659e-16
119,0.0,-3.2390847991798277,-3.2612801348363973e-16,2.740863092043355e-16,5.551115123125783e-17,1.4224732503009818e-16,-2.2898349882893854e-16,4.85722573273506e-17,-9.367506770274758e-17,-2.5153490401663703e-16
120,0.0,-2.8487950432876614,2.0122792321330962e-16,-1.1136924715771102e-15,5.152128723651117e-16,-3.885780586188048e-16,-7.806255641895632e-17,4.163336342344337e-17,-1.700029006457271e-16,1.734723475976807e-17
