,label,PCA_feature_3,PCA_feature_11,PCA_feature_14,PCA_feature_127,PCA_feature_128,PCA_feature_129,PCA_feature_134,PCA_feature_135,PCA_feature_142,PCA_feature_146,PCA_feature_147,PCA_feature_149,PCA_feature_151,PCA_feature_153,PCA_feature_162,PCA_feature_163,PCA_feature_168
1,0.0,-2.758241586647062,1.1438806873175698,0.5441880541866985,4.510281037539698e-16,4.119968255444917e-17,-5.065392549852277e-16,3.677613769070831e-16,-4.0245584642661925e-16,-8.847089727481716e-17,-1.3877787807814457e-17,1.4224732503009818e-16,-1.8041124150158794e-16,-1.222980050563649e-16,1.1102230246251565e-16,1.0755285551056204e-16,-2.0990154059319366e-16,4.163336342344337e-17
1,1.0,4.450455152928563,0.2188137352112027,-0.7878407205795489,3.157196726277789e-16,1.0148132334464322e-16,1.2385925618474403e-15,-1.2698175844150228e-15,1.2698175844150228e-15,6.938893903907228e-18,2.8449465006019636e-16,6.730727086790012e-16,-2.42861286636753e-16,1.8041124150158794e-16,-2.7755575615628914e-17,-1.9081958235744878e-17,2.0469737016526324e-16,-4.163336342344337e-17
2,0.0,-0.526318377756612,0.3039849961140699,1.243961157276999,3.972516759986888e-16,-2.862293735361732e-17,-1.5959455978986625e-16,4.839878497975292e-16,-2.8709673527416157e-16,-1.468009741545373e-16,2.740863092043355e-16,-1.0928757898653885e-16,-3.400058012914542e-16,-1.734723475976807e-16,5.204170427930421e-17,4.198030811863873e-16,5.724587470723463e-17,1.700029006457271e-16
2,1.0,6.736429557835909,1.9935922253939728,2.429584310302784,8.847089727481716e-16,1.5265566588595902e-16,1.1969591984239969e-15,-1.6566609195578508e-16,5.603156827405087e-16,-3.729655473350135e-17,5.516420653606247e-16,2.636779683484747e-16,-2.0816681711721685e-17,-1.734723475976807e-17,-9.71445146547012e-17,3.157196726277789e-16,8.500145032286355e-17,1.9081958235744878e-16
3,1.0,-0.8322535979329475,-0.31705016197551456,-0.35524776570179545,6.765421556309548e-17,1.1275702593849246e-17,-5.325601071248798e-16,2.8709673527416157e-16,-6.999609225566417e-16,7.632783294297951e-17,1.6653345369377348e-16,-2.0816681711721685e-17,-5.516420653606247e-16,3.226585665316861e-16,-3.8510861166685117e-16,1.0009354456386177e-15,-9.71445146547012e-17,1.3357370765021415e-16
5,1.0,-0.15412484136589127,-0.7034019124760265,0.03364385448537768,2.1510571102112408e-16,1.1275702593849246e-17,5.412337245047638e-16,-4.683753385137379e-17,8.951173136040325e-16,1.7694179454963432e-16,-6.158268339717665e-17,0.0,-2.706168622523819e-16,2.8449465006019636e-16,4.163336342344337e-17,2.975050761300224e-16,1.734723475976807e-18,1.1102230246251565e-16
5,0.0,1.4615717032689457,-0.922145726381419,0.16751576231304788,4.371503159461554e-16,-5.952269926945419e-17,1.231653667943533e-16,6.678685382510707e-16,6.938893903907228e-18,-3.660266534311063e-16,4.440892098500626e-16,-8.326672684688674e-17,-9.020562075079397e-17,1.249000902703301e-16,-1.1102230246251565e-16,2.3592239273284576e-16,2.1510571102112408e-16,4.2674197509029455e-16
6,1.0,-0.24022443868703702,-0.11271802619888541,-0.5075935899422278,7.181755190543981e-16,2.688821387764051e-17,-3.2526065174565133e-16,-2.3245294578089215e-16,-3.7383290907300193e-16,4.7271214720367993e-17,1.986258379993444e-16,-1.5959455978986625e-16,-2.2898349882893854e-16,-3.469446951953614e-17,-2.7755575615628914e-17,2.6194324487249787e-16,-2.0925101928970236e-16,-1.3877787807814457e-17
7,0.0,-1.7637474442882104,-0.0032408149354684126,0.6976673440172517,7.979727989493313e-17,-4.7704895589362195e-17,1.8041124150158794e-16,2.905661822261152e-16,-7.771561172376096e-16,-5.4643789493269423e-17,-2.0816681711721685e-17,-7.632783294297951e-17,-2.740863092043355e-16,8.153200337090993e-17,2.6020852139652106e-16,2.463307335887066e-16,-1.4051260155412137e-16,1.8388068845354155e-16
7,1.0,-0.7097463204521569,-1.0941183771634149,0.44145228809833076,2.8449465006019636e-16,4.119968255444917e-17,2.8275992658421956e-16,9.540979117872439e-17,7.127545081919706e-16,1.981921571303502e-16,-1.249000902703301e-16,2.42861286636753e-17,-2.636779683484747e-16,3.469446951953614e-18,8.326672684688674e-17,2.1510571102112408e-16,1.6479873021779667e-17,7.632783294297951e-17
8,0.0,-2.1258358474319663,0.6119779080028633,0.3292867021810475,2.42861286636753e-16,-1.0408340855860843e-17,1.734723475976807e-17,2.0296264668928643e-16,-3.2699537522162814e-16,1.7954387976359953e-16,-1.734723475976807e-17,8.153200337090993e-17,-3.608224830031759e-16,1.3877787807814457e-17,5.551115123125783e-17,4.2327252813834093e-16,5.898059818321144e-17,9.107298248878237e-17
8,1.0,-1.2165130365745231,-0.648242928391219,0.05482836101768296,2.489328188026718e-16,-1.3444106938820255e-17,-6.765421556309548e-17,3.5561831257524545e-17,-2.2898349882893854e-16,4.336808689942018e-17,9.280770596475918e-17,-1.8735013540549517e-16,-2.0729945537922845e-16,1.3530843112619095e-16,-4.7704895589362195e-17,2.896988204881268e-16,-4.5102810375396984e-17,1.734723475976807e-17
9,0.0,-1.6316498253189669,-1.4516118148820858,1.2019287796162084,1.249000902703301e-16,-9.107298248878237e-17,-1.6653345369377348e-16,4.2934406030425976e-16,2.42861286636753e-16,-1.1796119636642288e-16,2.194425197110661e-16,2.3245294578089215e-16,9.71445146547012e-17,-5.629177679544739e-16,-2.7755575615628914e-16,-2.498001805406602e-16,1.4051260155412137e-16,-2.498001805406602e-16
10,1.0,1.9909145503468872,-0.9023831507521607,-0.953307610299518,8.291978215169138e-16,-8.890457814381136e-17,-6.245004513516506e-16,2.5500435096859064e-16,-5.238864897449957e-16,-2.5326962749261384e-16,1.8648277366750676e-16,2.0122792321330962e-16,1.1102230246251565e-16,-5.342948306008566e-16,9.71445146547012e-17,1.9081958235744878e-16,-2.949029909160572e-17,9.367506770274758e-17
11,0.0,-0.4337000168558884,0.8543908231024047,1.0268139623689772,2.0122792321330962e-16,-1.6132928326584306e-16,-6.609296443471635e-16,6.891189008317866e-16,-4.718447854656915e-16,-2.8102520310824275e-16,-1.205632815803881e-16,-5.412337245047638e-16,7.91033905045424e-16,2.42861286636753e-17,2.0816681711721685e-17,-8.326672684688674e-17,-2.185751579730777e-16,-1.0408340855860843e-16
11,1.0,-0.9861853047151922,1.0858857468544083,-0.8499595899665797,6.054184931159057e-16,6.938893903907228e-17,-3.0184188481996443e-16,1.1449174941446927e-16,-5.048045315092509e-16,-1.734723475976807e-17,2.949029909160572e-16,-4.85722573273506e-17,7.632783294297951e-17,-7.806255641895632e-17,-2.983724378680108e-16,2.5500435096859064e-16,-7.806255641895632e-17,1.3877787807814457e-17
12,1.0,0.8363915760942415,-0.9610719305291339,-0.6211758825707134,1.9255430583342559e-16,-8.500145032286355e-17,4.614364446098307e-16,1.231653667943533e-15,-3.200564813177209e-16,-9.540979117872439e-17,5.551115123125783e-17,-1.6653345369377348e-16,-6.591949208711867e-17,-1.8583225236401546e-16,1.942890293094024e-16,-2.7755575615628914e-17,7.112366251504909e-17,8.326672684688674e-17
12,0.0,-1.6876126528640252,0.26867696284655174,0.900361876004537,1.5612511283791264e-16,-1.0061396160665481e-16,-5.603156827405087e-16,4.77048955893622e-16,-6.574601973952099e-16,6.591949208711867e-17,-3.122502256758253e-16,-1.1102230246251565e-16,-2.1510571102112408e-16,-1.4224732503009818e-16,2.0122792321330962e-16,-1.4051260155412137e-16,-1.7694179454963432e-16,-1.0408340855860843e-16
13,0.0,0.20311133387521232,0.4121239507572843,-0.25777657185905906,-4.163336342344337e-17,1.0408340855860843e-17,1.8735013540549517e-16,-3.7816971776294395e-16,-5.134781488891349e-16,-3.8163916471489756e-16,-1.3183898417423734e-16,1.3183898417423734e-16,5.828670879282072e-16,-2.0296264668928643e-16,-1.6653345369377348e-16,-6.487865800153259e-16,6.591949208711867e-17,-3.2612801348363973e-16
13,1.0,1.109104749703364,1.21386435559954,-0.3850851939140194,5.499073418846478e-16,-2.688821387764051e-17,-4.839878497975292e-16,6.192962809237201e-16,-5.368969158148218e-16,-3.0531133177191805e-16,5.204170427930421e-16,2.671474153004283e-16,7.979727989493313e-17,-2.7755575615628914e-17,-1.7694179454963432e-16,5.204170427930421e-16,-2.0816681711721685e-17,3.469446951953614e-16
14,0.0,1.1954365890073362,0.43301682231288147,-0.979514885064475,2.42861286636753e-16,-2.42861286636753e-16,-3.434752482434078e-16,9.731798700229888e-16,1.2732870313669764e-15,-4.926614671774132e-16,-8.673617379884035e-17,-3.3306690738754696e-16,7.979727989493313e-16,-9.020562075079397e-17,-2.636779683484747e-16,-5.754945131553058e-16,-1.93421667571414e-16,-5.551115123125783e-17
14,1.0,2.1354194637571147,-0.1380254883382072,-0.9968536690031522,3.2959746043559335e-16,-1.1188966420050406e-16,1.7433970933566911e-16,3.5041414214731503e-16,2.5847379792054426e-16,-3.469446951953614e-18,2.6020852139652106e-17,-2.949029909160572e-16,9.020562075079397e-17,-2.0816681711721685e-17,4.85722573273506e-17,-1.3530843112619095e-16,-1.491862189340054e-16,2.7755575615628914e-16
15,0.0,-3.9623273601215776,-0.13769404107272837,0.9767938579071034,-4.371503159461554e-16,-1.8388068845354155e-16,-1.0200174038743626e-15,6.83481049534862e-16,-1.0928757898653885e-15,-5.898059818321144e-17,-3.434752482434078e-16,-4.440892098500626e-16,2.3592239273284576e-16,-1.97758476261356e-16,-6.938893903907228e-17,-5.462210544981971e-16,-1.0061396160665481e-16,-2.3071822230491534e-16
15,1.0,2.9888596688300275,-0.11587704823165755,-0.5712868521948838,5.967448757360216e-16,-4.336808689942018e-17,5.620504062164855e-16,1.6566609195578508e-16,1.0581813203458523e-15,9.020562075079397e-17,1.5092094240998222e-16,2.1510571102112408e-16,2.706168622523819e-16,-2.498001805406602e-16,3.191891195797325e-16,-2.7582103268031233e-16,-6.526897078362737e-17,2.220446049250313e-16
17,1.0,1.4220990404645693,-0.3659010173484959,-0.6538688846509129,4.926614671774132e-16,5.204170427930421e-17,-4.787836793695988e-16,-2.8622937353617317e-16,-8.465450562766819e-16,-7.632783294297951e-17,1.0061396160665481e-16,1.8735013540549517e-16,1.3877787807814457e-17,-9.367506770274758e-17,-1.1102230246251565e-16,6.938893903907228e-18,6.591949208711867e-17,-3.122502256758253e-17
17,0.0,0.3296911440054615,0.7769372101251589,0.25165016003272306,8.951173136040325e-16,8.803721640582296e-17,-7.875644580934704e-16,2.671474153004283e-16,-1.2741543931049648e-15,-1.8388068845354155e-16,3.0943130002736297e-16,1.3877787807814457e-17,-2.7755575615628914e-17,5.898059818321144e-17,-1.8041124150158794e-16,3.7383290907300193e-16,-1.3357370765021415e-16,5.204170427930421e-17
18,0.0,2.3498442732728577,0.6826547442889357,1.063707011966362,5.30825383648903e-16,8.413408858487514e-17,3.209238430557093e-16,2.0990154059319366e-16,2.940356291780688e-16,7.37257477290143e-18,-1.3183898417423734e-16,-3.0878077872387166e-16,5.412337245047638e-16,1.431146867680866e-17,-4.85722573273506e-17,-3.469446951953614e-16,-3.5561831257524545e-16,5.204170427930421e-17
19,1.0,1.8109926652677923,-0.5547244128385198,-0.04367262554987765,3.469446951953614e-16,9.540979117872439e-18,5.950101522600448e-16,-5.516420653606247e-16,5.152128723651117e-16,1.214306433183765e-17,-4.423544863740858e-17,-2.0816681711721685e-17,4.85722573273506e-17,9.020562075079397e-17,1.0408340855860843e-16,2.0816681711721685e-17,-5.160802341031001e-17,1.0061396160665481e-16
19,0.0,-4.141118292334217,-0.1813630003201639,1.2056781781438655,-1.249000902703301e-16,-1.5092094240998222e-16,3.2959746043559335e-17,3.6477982093274797e-16,4.952635523913784e-16,9.71445146547012e-17,-6.938893903907228e-17,-2.0122792321330962e-16,1.0408340855860843e-16,-2.0816681711721685e-16,2.7755575615628914e-16,-5.143455106271233e-16,5.204170427930421e-17,-2.1510571102112408e-16
21,0.0,-3.976443803452289,0.4497524275853184,0.5082241291811939,-9.367506770274758e-17,5.117434254131581e-17,-3.3393426912553537e-17,8.591218014775137e-16,-5.84601811404184e-16,-7.28583859910259e-17,-3.122502256758253e-17,-2.1868357819032624e-16,-1.9081958235744878e-17,-2.2898349882893854e-16,-1.3270634591222574e-16,9.71445146547012e-17,-3.469446951953614e-18,-1.5655879370690684e-16
22,1.0,1.1176427403898566,-1.0172358761446576,0.4499627029617148,3.6456298049825087e-16,2.867714746224159e-17,-1.734723475976807e-18,-3.3480163086352377e-16,6.245004513516506e-17,-3.8163916471489756e-17,-3.469446951953614e-17,-1.5959455978986625e-16,1.9081958235744878e-17,5.204170427930421e-17,7.28583859910259e-17,-1.2836953722228372e-16,-1.3877787807814457e-17,2.7755575615628914e-17
22,0.0,0.561733193467024,0.02594522956937318,0.06133845750058958,-8.673617379884035e-17,-2.255140518769849e-16,6.279698983036042e-16,7.042977312465837e-16,1.1223660889569942e-15,-4.163336342344337e-17,-2.42861286636753e-16,2.0816681711721685e-17,2.636779683484747e-16,2.0816681711721685e-17,2.1510571102112408e-16,-6.92154666914746e-16,2.435118079402443e-16,5.204170427930421e-17
23,0.0,-0.26489577480088233,-0.8035520877589343,0.405323342504038,0.0,-6.765421556309548e-17,-4.40619762898109e-16,-3.122502256758253e-16,-5.863365348801608e-16,1.0061396160665481e-16,-1.1102230246251565e-16,-1.1796119636642288e-16,3.469446951953614e-17,-2.0816681711721685e-17,6.938893903907228e-18,-6.765421556309548e-17,-1.3530843112619095e-16,-7.632783294297951e-17
24,0.0,-4.261625887568386,0.09897668423511699,-0.6465031163310851,-2.6194324487249787e-16,-3.5561831257524545e-17,-4.909267437014364e-16,1.5785983631388945e-16,-5.30825383648903e-16,1.214306433183765e-17,1.2836953722228372e-16,-1.9081958235744878e-16,2.220446049250313e-16,4.85722573273506e-17,4.40619762898109e-16,-3.3480163086352377e-16,-4.0245584642661925e-16,-1.6306400674181987e-16
25,1.0,3.2859232520487516,-0.3206658363652197,0.229542224891093,6.938893903907228e-17,-7.112366251504909e-17,8.465450562766819e-16,8.012254054667878e-17,1.4016565685892601e-15,1.249000902703301e-16,-1.5959455978986625e-16,-8.326672684688674e-17,1.8041124150158794e-16,2.0122792321330962e-16,-8.326672684688674e-17,-3.7296554733501353e-16,-5.551115123125783e-17,-1.8041124150158794e-16
26,0.0,-3.3730799866045302,-1.7297342401640843,-0.8119689532750338,-6.106226635438361e-16,-2.0816681711721685e-16,2.42861286636753e-16,-3.191891195797325e-16,5.030698080332741e-16,-4.40619762898109e-16,-3.0704605524789486e-16,-6.938893903907228e-18,-4.85722573273506e-17,1.8735013540549517e-16,-8.326672684688674e-17,-5.447031714567174e-16,-2.8514517136368767e-17,-2.983724378680108e-16
27,1.0,0.06985673468634784,0.36066612306529533,-0.3211798261939002,4.40619762898109e-16,2.211772431870429e-17,3.122502256758253e-16,-2.5825695748604716e-16,-1.491862189340054e-16,2.914335439641036e-16,2.957703526540456e-16,1.3877787807814457e-16,-1.5959455978986625e-16,2.1163626406917047e-16,-1.942890293094024e-16,7.164407955784213e-16,3.5041414214731503e-16,1.249000902703301e-16
28,1.0,-0.5344520564374365,0.4888737052505881,-0.4504992390142589,6.175615574477433e-16,2.2659825404947043e-17,1.8648277366750676e-16,-1.97758476261356e-16,-1.960237527853792e-16,3.469446951953614e-17,3.2959746043559335e-16,7.632783294297951e-17,-2.949029909160572e-16,1.9255430583342559e-16,-1.942890293094024e-16,3.157196726277789e-16,1.474514954580286e-16,1.6653345369377348e-16
28,0.0,-2.294917467513718,-0.8696716083528713,1.2804695740100698,-1.6306400674181987e-16,-1.1058862159352145e-16,-1.7878493824285968e-16,5.572799166575493e-17,2.0296264668928643e-16,-1.6306400674181987e-16,-2.5326962749261384e-16,-1.8041124150158794e-16,-4.996003610813204e-16,4.5102810375396984e-17,1.5027042110649091e-16,5.074066167232161e-17,1.6306400674181987e-16,-5.377642775528102e-17
29,0.0,-3.170884761415053,0.39592549059699067,0.49161320669494807,-1.0408340855860843e-16,-1.5959455978986625e-16,-1.0373646386341306e-15,8.118505867571457e-16,-1.6514567491299204e-15,-1.214306433183765e-16,-1.1102230246251565e-16,-3.8163916471489756e-16,1.3877787807814457e-17,-3.9898639947466563e-17,9.71445146547012e-17,-4.423544863740858e-16,-3.2786273695961654e-16,-9.367506770274758e-17
30,0.0,-4.845540138143935,0.5681025882414474,-0.09924335454127034,-1.8388068845354155e-16,3.903127820947816e-17,6.938893903907228e-18,6.548581121812447e-16,-2.8275992658421956e-16,-6.938893903907228e-17,-8.673617379884035e-17,-1.8735013540549517e-16,1.5959455978986625e-16,6.310056643865636e-17,2.983724378680108e-16,-5.967448757360216e-16,-1.32164244825983e-16,-1.5092094240998222e-16
31,0.0,-2.301349879680759,0.9864460241787942,-0.02763267346792067,9.020562075079397e-17,3.2959746043559335e-17,5.689893001203927e-16,2.706168622523819e-16,7.73686670285656e-16,-1.8388068845354155e-16,-2.185751579730777e-16,9.020562075079397e-17,-8.326672684688674e-17,-4.440892098500626e-16,-5.551115123125783e-17,1.3791051634015616e-16,-6.765421556309548e-16,-1.3877787807814457e-17
31,1.0,4.8811716283407405,1.2035970457346394,-0.4505802011286663,2.0122792321330962e-16,1.457167719820518e-16,3.712308238590367e-16,-8.118505867571457e-16,4.926614671774132e-16,-1.0755285551056204e-16,-2.6020852139652106e-17,2.5673907444456745e-16,4.440892098500626e-16,1.3877787807814457e-16,-3.885780586188048e-16,-1.249000902703301e-16,3.9898639947466563e-17,-2.914335439641036e-16
32,1.0,0.5920672688582355,-0.48179933857830626,-0.3488880139690433,7.28583859910259e-17,-6.765421556309548e-17,4.336808689942018e-17,0.0,5.776629175002768e-16,1.8388068845354155e-16,-5.0306980803327406e-17,-1.2836953722228372e-16,4.85722573273506e-17,1.5959455978986625e-16,1.1102230246251565e-16,-1.3704315460216776e-16,-2.1510571102112408e-16,-1.0408340855860843e-17
32,0.0,2.0522043489551107,0.977762746127883,-0.41609043611275565,6.696032617270475e-16,4.5102810375396984e-17,3.0184188481996443e-16,-4.909267437014364e-16,-6.071532165918825e-16,-2.1510571102112408e-16,2.953366717850514e-16,4.510281037539698e-16,1.3877787807814457e-17,-3.8163916471489756e-17,-2.5673907444456745e-16,1.0928757898653885e-16,2.636779683484747e-16,0.0
33,0.0,-3.9336006862494535,0.8563640335104192,-0.901423806246611,1.491862189340054e-16,3.686287386450715e-17,-3.660266534311063e-16,5.93275428784068e-16,-8.881784197001252e-16,1.1752751549742868e-16,-7.719519468096792e-17,-3.2959746043559335e-16,3.157196726277789e-16,1.2663481374630692e-16,1.700029006457271e-16,-5.238864897449957e-16,-1.3877787807814457e-16,-1.9905951886833861e-16
34,1.0,-0.5244662103463618,0.10854255020207393,-0.0346347424749614,3.365363543395006e-16,6.722053469410127e-17,2.8189256484623115e-17,-7.112366251504909e-17,-1.5092094240998222e-16,7.632783294297951e-17,1.0408340855860843e-17,7.806255641895632e-18,-1.8561541192951836e-16,1.734723475976807e-16,7.19910242530375e-17,3.316574445633158e-16,2.2551405187698492e-17,6.158268339717665e-17
35,1.0,1.1771832690969786,-1.2329361250853101,0.11859117720351683,3.608224830031759e-16,-1.8214596497756474e-17,-2.671474153004283e-16,-5.377642775528102e-16,-2.480654570646834e-16,-1.5352302762394743e-16,-7.45931094670027e-17,1.5265566588595902e-16,0.0,9.020562075079397e-17,-2.5673907444456745e-16,1.3964523981613297e-16,7.632783294297951e-17,-9.367506770274758e-17
35,0.0,-2.1240522044026093,0.2373475925666445,0.15201281594624047,6.331740687315346e-16,-3.9898639947466563e-17,2.7755575615628914e-17,2.0556473190325164e-16,-9.367506770274758e-17,-6.938893903907228e-17,7.45931094670027e-17,-4.145989107584569e-16,8.326672684688674e-17,-4.85722573273506e-17,3.3306690738754696e-16,-2.914335439641036e-16,-3.469446951953614e-17,-2.1337098754514727e-16
36,1.0,0.2963586242234454,-0.561463416287631,-0.43628756844233996,2.42861286636753e-16,5.204170427930421e-18,5.2562121322097255e-16,-3.677613769070831e-16,2.931682674400804e-16,1.214306433183765e-16,-1.700029006457271e-16,-7.28583859910259e-17,-2.393918396847994e-16,7.37257477290143e-17,-2.0816681711721685e-17,2.914335439641036e-16,1.4224732503009818e-16,6.245004513516506e-17
36,0.0,-2.226744201560343,-0.5721438603713098,-0.1069526589162855,3.0184188481996443e-16,8.782037597132586e-18,-1.5785983631388945e-16,3.2612801348363973e-16,-6.705790436822845e-17,-8.847089727481716e-17,-2.3071822230491534e-16,-2.5153490401663703e-16,1.1796119636642288e-16,-2.0816681711721685e-17,1.231653667943533e-16,-3.7643499428696714e-16,-1.0408340855860843e-16,-4.5102810375396984e-17
37,0.0,-5.869274237288751,0.5391237389245747,-0.7745600642681245,-1.7694179454963432e-16,-1.1275702593849246e-17,-2.463307335887066e-16,3.174543961037557e-16,-8.127179484951341e-16,6.591949208711867e-17,-2.671474153004283e-16,-5.620504062164855e-16,3.8163916471489756e-16,5.204170427930421e-17,4.3368086899420177e-16,-6.071532165918825e-16,-1.8583225236401546e-16,-3.122502256758253e-16
37,1.0,3.134133843174123,-1.7980630223482523,0.22591829738401675,5.551115123125783e-17,-5.898059818321144e-17,-3.712308238590367e-16,-4.579669976578771e-16,-5.898059818321144e-17,-1.734723475976807e-17,1.95590071916385e-16,3.5388358909926865e-16,2.3592239273284576e-16,1.3791051634015616e-16,-2.3592239273284576e-16,2.185751579730777e-16,1.1102230246251565e-16,-7.979727989493313e-17
38,0.0,-4.770297072198677,0.1948056141702222,-0.6158185283741873,1.6653345369377348e-16,1.214306433183765e-17,-6.149594722337781e-16,7.134050294954619e-16,-1.0234868508263162e-16,-1.0581813203458523e-16,-6.591949208711867e-16,3.8163916471489756e-17,2.7755575615628914e-17,1.5959455978986625e-16,3.191891195797325e-16,-5.715913853343579e-16,-2.688821387764051e-16,-1.6002824065886045e-16
39,0.0,-3.3793720118218773,-0.06752057403718331,0.4113422494435564,-3.469446951953614e-17,-1.3357370765021415e-16,-1.3357370765021415e-16,4.0592529337857286e-16,1.0191500421363742e-16,1.4137996329210978e-16,-1.734723475976807e-17,-2.463307335887066e-16,-3.677613769070831e-16,1.0061396160665481e-16,2.7755575615628914e-16,3.8163916471489756e-17,3.8163916471489756e-17,1.8561541192951836e-16
39,1.0,1.3494934852343021,-1.2923798579082157,0.2533256222652908,2.636779683484747e-16,4.662069341687669e-17,7.068998164605489e-16,-3.0010716134398763e-16,3.8510861166685117e-16,9.020562075079397e-17,2.7755575615628914e-17,7.28583859910259e-17,-1.942890293094024e-16,4.9439619065339e-17,2.42861286636753e-16,9.71445146547012e-17,8.673617379884035e-17,7.632783294297951e-17
40,0.0,-4.189767549731806,-0.04723428722681401,0.35530181570783037,-2.740863092043355e-16,-7.025630077706069e-17,-3.9768535686768303e-16,2.6020852139652106e-17,-4.787836793695988e-16,-6.331740687315346e-17,-3.642919299551295e-17,-1.942890293094024e-16,2.1163626406917047e-16,-7.979727989493313e-17,2.203098814490545e-16,-3.3566899260151217e-16,6.982261990806649e-17,-1.6653345369377348e-16
40,1.0,0.41070330660141535,-1.0513872414457086,-0.35993287338310465,3.5388358909926865e-16,1.214306433183765e-17,2.862293735361732e-17,-2.6020852139652106e-16,5.204170427930421e-16,1.9949319973733282e-16,-1.5959455978986625e-16,-2.0816681711721685e-16,1.6653345369377348e-16,5.204170427930421e-17,4.163336342344337e-17,-2.8102520310824275e-16,-1.734723475976807e-17,4.163336342344337e-17
42,0.0,-0.25786651232885627,0.03659142403984818,-1.0470261647571593,-6.591949208711867e-17,-6.591949208711867e-17,6.782768791069316e-16,-4.0939474033052647e-16,1.1379786002407855e-15,2.3245294578089215e-16,-5.204170427930421e-17,9.020562075079397e-17,-2.42861286636753e-16,3.3306690738754696e-16,8.326672684688674e-17,1.6306400674181987e-16,2.949029909160572e-17,1.457167719820518e-16
42,1.0,1.0973383451853287,-1.2491771127396203,0.0863746788667737,2.3592239273284576e-16,-3.122502256758253e-17,3.191891195797325e-16,-8.673617379884035e-18,5.750608322863116e-16,6.938893903907228e-17,-1.214306433183765e-16,9.020562075079397e-17,-1.1102230246251565e-16,1.0408340855860843e-16,9.71445146547012e-17,9.042246118529107e-17,-1.8214596497756474e-17,1.1449174941446927e-16
43,1.0,4.888280302259437,1.6192885607162701,-1.2208207419199006,1.083334810747516e-15,1.7802599672211983e-16,3.9985376121265404e-16,-4.510281037539698e-16,5.204170427930421e-16,-8.673617379884035e-17,1.3183898417423734e-16,1.3183898417423734e-16,-1.8735013540549517e-16,2.0122792321330962e-16,-1.6306400674181987e-16,2.740863092043355e-16,5.950101522600448e-16,2.220446049250313e-16
43,0.0,-3.019982160673699,0.817069187173554,0.08367555952701562,6.938893903907228e-17,-9.77950359581925e-17,1.6740081543176188e-16,-5.551115123125783e-17,-4.111294638065033e-16,1.3357370765021415e-16,-4.579669976578771e-16,-5.793976409762536e-16,3.8163916471489756e-17,3.122502256758253e-17,1.3877787807814457e-16,-6.245004513516506e-17,-1.0755285551056204e-16,-1.9081958235744878e-16
44,1.0,-0.11886074070828034,0.5214082421852402,0.02928335650144348,3.2612801348363973e-16,3.903127820947816e-18,0.0,-1.5959455978986625e-16,-1.5092094240998222e-16,2.645453300864631e-16,2.688821387764051e-16,1.734723475976807e-16,-3.434752482434078e-16,2.463307335887066e-16,-2.3245294578089215e-16,1.1882855810441129e-15,8.944667923005412e-18,2.220446049250313e-16
