,label,PCA_feature_11,PCA_feature_3,PCA_feature_28,PCA_feature_124,PCA_feature_122,PCA_feature_15,PCA_feature_134,PCA_feature_89,PCA_feature_23,PCA_feature_126,PCA_feature_148,PCA_feature_14,PCA_feature_128,PCA_feature_30,PCA_feature_16,PCA_feature_138,PCA_feature_141,PCA_feature_1,PCA_feature_53
1,0.0,1.1438806873175698,-2.758241586647062,-1.0544758427857586,-0.0038927983166622687,0.007178882715669086,0.8182405334935939,3.677613769070831e-16,0.041444847683087725,-0.09123987157444974,-0.018766727762174966,1.231653667943533e-16,0.5441880541866985,4.119968255444917e-17,-0.4933045966935684,-0.025832182822376884,-2.7755575615628914e-17,6.591949208711867e-17,3.3729269463953666,-0.275166045412577
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003,-0.0074888299109399994,1.0229711445260035,-1.2698175844150228e-15,-0.00745362933035806,0.2132304787823162,0.0025099229904627235,-6.591949208711867e-16,-0.7878407205795489,1.0148132334464322e-16,0.04009111622394174,0.5629354851468753,-2.0816681711721685e-17,8.326672684688674e-17,-2.2659309556946297,-0.1445482912509509
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003,-0.0074888299109399994,1.0229711445260035,-1.2698175844150228e-15,-0.00745362933035806,0.2132304787823162,0.0025099229904627235,-6.591949208711867e-16,-0.7878407205795489,1.0148132334464322e-16,0.04009111622394174,0.5629354851468753,-2.0816681711721685e-17,8.326672684688674e-17,-2.2659309556946297,-0.1445482912509509
1,1.0,0.2188137352112027,4.450455152928563,0.4604724654848585,0.0007043632088609003,-0.0074888299109399994,1.0229711445260035,-1.2698175844150228e-15,-0.00745362933035806,0.2132304787823162,0.0025099229904627235,-6.591949208711867e-16,-0.7878407205795489,1.0148132334464322e-16,0.04009111622394174,0.5629354851468753,-2.0816681711721685e-17,8.326672684688674e-17,-2.2659309556946297,-0.1445482912509509
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516,-0.0017769288352735644,0.005268789216660602,-1.6566609195578508e-16,0.0057724928774980505,0.7348703776088001,-0.00022551298693644986,-2.0122792321330962e-16,2.429584310302784,1.5265566588595902e-16,-0.24448215293963713,0.16978587551404745,-2.7755575615628914e-17,2.5673907444456745e-16,1.363067209364641,0.012270306655810088
2,0.0,0.3039849961140699,-0.526318377756612,-0.5218027902535161,-0.0210907937415524,0.00045440581563054375,-0.008948616007097482,4.839878497975292e-16,0.03430214457388931,0.27506992246866424,1.6081194416366074e-05,4.397524011601206e-16,1.243961157276999,-2.862293735361732e-17,0.15254255809664666,-0.43308500448113296,-1.3877787807814457e-17,4.85722573273506e-16,2.537503329288766,-0.04239001056493909
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516,-0.0017769288352735644,0.005268789216660602,-1.6566609195578508e-16,0.0057724928774980505,0.7348703776088001,-0.00022551298693644986,-2.0122792321330962e-16,2.429584310302784,1.5265566588595902e-16,-0.24448215293963713,0.16978587551404745,-2.7755575615628914e-17,2.5673907444456745e-16,1.363067209364641,0.012270306655810088
2,1.0,1.9935922253939728,6.736429557835909,0.49671975877844615,0.0037661868782649516,-0.0017769288352735644,0.005268789216660602,-1.6566609195578508e-16,0.0057724928774980505,0.7348703776088001,-0.00022551298693644986,-2.0122792321330962e-16,2.429584310302784,1.5265566588595902e-16,-0.24448215293963713,0.16978587551404745,-2.7755575615628914e-17,2.5673907444456745e-16,1.363067209364641,0.012270306655810088
3,1.0,-0.31705016197551456,-0.8322535979329475,0.3063451373773787,-0.05154857782184862,-0.0008305992703251889,-0.807185896432034,2.8709673527416157e-16,0.05697359237901361,0.5599745299188487,0.017799727661933527,3.400058012914542e-16,-0.35524776570179545,1.1275702593849246e-17,-0.6236933229342756,-0.9252013368635904,-2.0816681711721685e-17,3.226585665316861e-16,-0.04407311901929804,-0.09996256658342181
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986,-0.009532833809313818,0.3842246870893829,-4.683753385137379e-17,0.10591494594292127,0.3044571388569624,-0.01651981966945701,3.8163916471489756e-17,0.03364385448537768,1.1275702593849246e-17,-0.45752759566049084,0.3024912966099461,2.706168622523819e-16,-2.740863092043355e-16,0.9126559318711872,0.06006990166050202
5,0.0,-0.9221457263814186,1.4615717032689457,-0.6005627123906161,-0.006028575448609526,-0.008178458054360724,-0.31946370811707786,6.071532165918825e-16,-0.1031534885487813,0.34929707416332983,0.00025595456095473673,4.0245584642661925e-16,0.16751576231304788,-3.729655473350135e-17,-1.1863503615899635,0.31038960729079124,3.0531133177191805e-16,5.620504062164855e-16,9.513796235041385,-0.06483311584275576
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986,-0.009532833809313818,0.3842246870893829,-4.683753385137379e-17,0.10591494594292127,0.3044571388569624,-0.01651981966945701,3.8163916471489756e-17,0.03364385448537768,1.1275702593849246e-17,-0.45752759566049084,0.3024912966099461,2.706168622523819e-16,-2.740863092043355e-16,0.9126559318711872,0.06006990166050202
5,1.0,-0.7034019124760265,-0.15412484136589127,-0.10134742023919219,-0.0020150749426895986,-0.009532833809313818,0.3842246870893829,-4.683753385137379e-17,0.10591494594292127,0.3044571388569624,-0.01651981966945701,3.8163916471489756e-17,0.03364385448537768,1.1275702593849246e-17,-0.45752759566049084,0.3024912966099461,2.706168622523819e-16,-2.740863092043355e-16,0.9126559318711872,0.06006990166050202
6,1.0,-0.11271802619888541,-0.24022443868703702,0.4851346603583114,-0.053894761477407196,0.07926951554697875,0.27509652517305844,-2.3245294578089215e-16,0.11399542576341845,1.0978499018398917,-0.020233631814981116,1.0928757898653885e-16,-0.5075935899422278,2.688821387764051e-17,0.6333382928426466,-0.10648422425224383,-1.0408340855860843e-16,3.469446951953614e-17,0.5325218413095174,-0.3374658899796292
7,0.0,-0.0032408149354684126,-1.7637474442882104,0.051316341524256966,0.01921231685337448,-0.023882966613334104,0.5358157179550025,2.905661822261152e-16,0.040157082811414196,-0.21988076987054575,-0.0243016597328274,1.240327285323417e-16,0.6976673440172517,-4.7704895589362195e-17,0.3328243718835265,-0.21310444991478875,4.85722573273506e-17,-2.2898349882893854e-16,1.898930658173939,0.02014505081049578
7,1.0,-1.0941183771634149,-0.7097463204521569,-0.27181666173124164,0.019717180410727078,0.061723827280129345,0.47476333926353864,9.540979117872439e-17,-0.21993311698681686,-0.11160382089178812,0.025150948947901985,-1.734723475976807e-17,0.44145228809833076,4.119968255444917e-17,-0.06303395506391661,-0.17789093988432114,2.706168622523819e-16,-1.1102230246251565e-16,0.597392528250403,0.10065616378021701
7,1.0,-1.094118377163415,-0.7097463204521569,-0.27181666173124164,0.019717180410727123,0.06172382728012951,0.47476333926353864,1.6132928326584306e-16,-0.21993311698681683,-0.11160382089178841,0.025150948947901985,0.0,0.44145228809833076,1.5612511283791264e-17,-0.06303395506391646,-0.1778909398843211,2.706168622523819e-16,-6.245004513516506e-17,0.5973925282504032,0.10065616378021702
8,1.0,-0.648242928391219,-1.2165130365745231,-0.10522594929266453,0.04257833206313951,-0.012509154836847256,0.34003265594178445,3.5561831257524545e-17,-0.06536671275062901,-0.07337297260228653,0.0009531041417270986,2.0122792321330962e-16,0.05482836101768296,-1.3444106938820255e-17,-0.038419098147392326,-0.6089658168777687,1.3183898417423734e-16,7.979727989493313e-17,0.1320254662403474,0.10062605442704489
8,0.0,0.6119779080028632,-2.125835847431967,-0.24688284727435572,-0.0355203905208571,0.012881902456693368,-0.48592610860461827,2.671474153004283e-16,0.19955534088440086,-0.5799638510785547,-0.006709852090862414,1.8171228410857054e-16,0.3292867021810475,-9.107298248878237e-18,-0.2708613331221009,-0.8851030535717507,1.0061396160665481e-16,1.8041124150158794e-16,0.8677943692606044,0.019122352552540772
8,1.0,-0.648242928391219,-1.2165130365745231,-0.10522594929266453,0.04257833206313951,-0.012509154836847256,0.34003265594178445,3.5561831257524545e-17,-0.06536671275062901,-0.07337297260228653,0.0009531041417270986,2.0122792321330962e-16,0.05482836101768296,-1.3444106938820255e-17,-0.038419098147392326,-0.6089658168777687,1.3183898417423734e-16,7.979727989493313e-17,0.1320254662403474,0.10062605442704489
9,0.0,-1.4516118148820858,-1.6316498253189669,0.007499385269987759,-0.004003481565631815,0.008959891003241557,-0.7274739375379221,4.2934406030425976e-16,-0.03449556542064389,0.3705307472961393,-0.000532798354357069,-2.185751579730777e-16,1.2019287796162084,-9.107298248878237e-17,-0.24963173460451152,-0.48964635288062813,-3.469446951953614e-18,-2.983724378680108e-16,-2.505463688798087,-0.12466774253217838
10,1.0,-0.9023831507521609,1.9909145503468872,-0.21777834320376044,0.007158653470900181,0.011449285109673163,-0.47421125243445683,4.40619762898109e-16,-0.017420908601046243,0.01074506087696614,-0.00582668342575491,4.2327252813834093e-16,-0.953307610299518,-6.765421556309548e-17,0.15962611329176296,1.400995862071495,2.0816681711721685e-17,7.979727989493313e-16,7.829448247293015,-0.3425455756625673
11,1.0,1.0858857468544083,-0.9861853047151922,0.12965732102391053,0.01322688762427826,-0.011181432055666145,-0.15281568708817983,1.1449174941446927e-16,0.0010854252056350404,0.36039690299379207,-0.010466267533666819,3.903127820947816e-16,-0.8499595899665797,6.938893903907228e-17,-0.33630993928603253,-1.1378174575545963,2.7755575615628914e-17,1.1796119636642288e-16,0.6324971063992161,-0.031317123290006375
11,0.0,0.8543908231024047,-0.4337000168558884,-0.9188862005263606,-0.000845575609678989,0.0052086320623829264,0.1642716874057548,6.891189008317866e-16,-0.014473787121745104,1.016091247927457,-0.003397513903941947,3.8510861166685117e-16,1.0268139623689772,-1.6132928326584306e-16,1.4021816815914525,0.5584599741660082,6.938893903907228e-17,1.249000902703301e-16,5.616062034696826,0.20217562162260158
11,1.0,1.0858857468544083,-0.9861853047151922,0.12965732102391053,0.01322688762427826,-0.011181432055666145,-0.15281568708817983,1.1449174941446927e-16,0.0010854252056350404,0.36039690299379207,-0.010466267533666819,3.903127820947816e-16,-0.8499595899665797,6.938893903907228e-17,-0.33630993928603253,-1.1378174575545963,2.7755575615628914e-17,1.1796119636642288e-16,0.6324971063992161,-0.031317123290006375
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654,-0.006531338486691917,-0.6903714382746644,1.231653667943533e-15,0.010940270161885281,0.03695188054238292,-0.001727294208307157,5.238864897449957e-16,-0.6211758825707134,-8.500145032286355e-17,-0.10244011305756734,1.2301175244731977,1.5959455978986625e-16,5.134781488891349e-16,7.07706661306966,0.10686480273579575
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654,-0.006531338486691917,-0.6903714382746644,1.231653667943533e-15,0.010940270161885281,0.03695188054238292,-0.001727294208307157,5.238864897449957e-16,-0.6211758825707134,-8.500145032286355e-17,-0.10244011305756734,1.2301175244731977,1.5959455978986625e-16,5.134781488891349e-16,7.07706661306966,0.10686480273579575
12,0.0,0.26867696284655174,-1.6876126528640252,0.27129479315258725,-0.015893760854893045,-0.012979483072688976,-0.10792787241308749,4.77048955893622e-16,0.08779636284692231,-0.10147499422969687,-0.018617400000281902,4.423544863740858e-17,0.900361876004537,-1.0061396160665481e-16,0.03813795397312948,-0.025098867264078888,2.42861286636753e-17,-2.0816681711721685e-17,0.9341430616283468,-0.12513068737338395
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654,-0.006531338486691917,-0.6903714382746644,1.231653667943533e-15,0.010940270161885281,0.03695188054238292,-0.001727294208307157,5.238864897449957e-16,-0.6211758825707134,-8.500145032286355e-17,-0.10244011305756734,1.2301175244731977,1.5959455978986625e-16,5.134781488891349e-16,7.07706661306966,0.10686480273579575
12,1.0,-0.9610719305291339,0.8363915760942415,0.10522381874534865,-0.006459551163238654,-0.006531338486691917,-0.6903714382746644,1.231653667943533e-15,0.010940270161885281,0.03695188054238292,-0.001727294208307157,5.238864897449957e-16,-0.6211758825707134,-8.500145032286355e-17,-0.10244011305756734,1.2301175244731977,1.5959455978986625e-16,5.134781488891349e-16,7.07706661306966,0.10686480273579575
13,1.0,1.21386435559954,1.109104749703364,-0.6179209989346365,0.029535759380915516,0.00676479850155254,-0.4342976915745604,6.192962809237201e-16,0.07009671482408615,-0.05787993014205922,0.0057675024317690535,4.2327252813834093e-16,-0.3850851939140194,-2.688821387764051e-17,0.7677496394125247,0.2590052316910056,-1.0755285551056204e-16,3.8163916471489756e-16,4.6733682770083025,-0.3148623331902024
13,0.0,0.4121239507572843,0.20311133387521232,-0.42012319878472887,-0.003536194907208398,-0.0014077387206777453,0.7132616418695038,-3.7816971776294395e-16,-0.06938669621355646,-0.9225347955193745,0.0027821085591415197,-6.314393452555578e-16,-0.25777657185905906,1.0408340855860843e-17,-0.0009401141052611389,-0.6131544887125842,2.3592239273284576e-16,-2.0816681711721685e-16,-2.8293667304162713,0.04844377285510801
14,1.0,-0.13802548833820713,2.1354194637571142,0.19766653111641092,0.005247211738739682,0.04021162129708885,-1.8614808521556228,3.9898639947466563e-16,0.03521484353778952,-0.765519405727874,0.0066230172897593954,1.682681771697503e-16,-0.9968536690031522,-1.6479873021779667e-16,-0.40684192951427406,-0.4977974570319285,1.457167719820518e-16,4.787836793695988e-16,5.617067244739281,0.06531602255718524
14,0.0,0.43301682231288136,1.1954365890073364,0.09239756017708545,0.002192974527279609,-0.004653495424992299,1.9658581694219175,1.2923689896027213e-15,-0.0028230005143380296,0.8259823849925005,0.001255187902063394,2.0816681711721685e-16,-0.979514885064475,-2.671474153004283e-16,-0.09580720328858658,-0.8357420502560915,-2.5673907444456745e-16,1.3877787807814457e-16,10.394920883535008,0.40577167441193135
15,1.0,-0.11587704823165752,2.988859668830028,0.1205566024485086,0.002647505974980424,-0.017093181349171226,-0.8898288257202748,1.708702623837155e-16,-0.036081524351351195,-0.9565498952281128,0.00027474890077007486,-5.551115123125783e-17,-0.5712868521948838,-6.245004513516506e-17,0.464864656146642,-0.5941889791606634,2.706168622523819e-16,2.914335439641036e-16,4.554837580388601,0.006608079551147908
15,1.0,-0.11587704823165755,2.9888596688300275,0.1205566024485086,0.002647505974980327,-0.017093181349171246,-0.8898288257202743,1.6566609195578508e-16,-0.036081524351351285,-0.9565498952281118,0.00027474890077007486,5.551115123125783e-17,-0.5712868521948838,-4.336808689942018e-17,0.4648646561466418,-0.5941889791606629,2.5673907444456745e-16,2.7755575615628914e-16,4.554837580388601,0.006608079551147769
15,0.0,-0.13769404107272837,-3.9623273601215776,-0.13517999230091637,-0.000305243905086211,0.029782479780815482,0.2715399650859489,6.83481049534862e-16,-0.1765820800729747,-0.09636077275482724,-0.027107446415263633,8.326672684688674e-17,0.9767938579071034,-1.8388068845354155e-16,-0.13438519933638257,-0.2156154703021696,-2.5673907444456745e-16,-8.326672684688674e-17,-1.5181238489949602,0.18070991474431242
17,0.0,0.7769372101251589,0.3296911440054615,-0.4301224953983913,0.05767858429317563,-0.04910500295728902,0.22345461492882862,2.671474153004283e-16,0.14540282968103213,-0.15153866818228612,-0.027965265939483078,3.2612801348363973e-16,0.25165016003272306,8.803721640582296e-17,-0.34065833736981566,0.749367211530807,1.0408340855860843e-16,-2.7755575615628914e-17,2.7154909264171057,0.23338735457793677
17,1.0,-0.3659010173484959,1.4220990404645693,0.04993041966757841,0.015286709716029578,0.046738934962842454,-0.4710601572117801,-2.8622937353617317e-16,0.06370340883917668,0.5706059678175037,0.005289228670774932,-2.0122792321330962e-16,-0.6538688846509129,5.204170427930421e-17,0.12899636252418714,-0.43565303128760074,8.326672684688674e-17,-5.551115123125783e-17,-1.8087451272555444,-0.06717290580361741
17,1.0,-0.3659010173484959,1.4220990404645693,0.04993041966757841,0.015286709716029578,0.046738934962842454,-0.4710601572117801,-2.8622937353617317e-16,0.06370340883917668,0.5706059678175037,0.005289228670774932,-2.0122792321330962e-16,-0.6538688846509129,5.204170427930421e-17,0.12899636252418714,-0.43565303128760074,8.326672684688674e-17,-5.551115123125783e-17,-1.8087451272555444,-0.06717290580361741
18,0.0,0.6826547442889357,2.3498442732728577,0.04656706857174184,-0.0017612516745269188,0.01710163885229098,0.22855894003168314,2.0990154059319366e-16,-0.07451539768268807,-0.7151594934273265,0.01497956410271004,-2.255140518769849e-16,1.063707011966362,8.413408858487514e-17,-0.13636802379303092,1.1749520544915881,-7.632783294297951e-17,-6.453171330633722e-16,-0.4495885586503964,0.24714426126476297
19,0.0,-0.1813630003201639,-4.141118292334217,0.20134074395620216,-0.0023300097158744093,-0.002929306082399348,0.46331002280789924,3.6477982093274797e-16,-0.0606060206357493,-0.28680262706962106,0.009391497723064251,-1.5959455978986625e-16,1.2056781781438655,-1.5092094240998222e-16,0.12085242261957593,0.3422937733067868,-1.5959455978986625e-16,4.163336342344337e-17,-0.11678039282573968,-0.21242324776564153
19,1.0,-0.5547244128385194,1.810992665267792,0.014018675988712564,-0.0031607270539087268,-0.002030903282168081,-0.005100222778140387,-5.629177679544739e-16,0.04729336481004156,-0.25282947551238966,-0.0030953991045955705,-2.1163626406917047e-16,-0.04367262554987765,3.2959746043559335e-17,0.0671925914266512,-0.0022355727940749186,1.249000902703301e-16,-9.71445146547012e-17,-1.0529526562293225,-0.18765784426931098
19,1.0,-0.5547244128385198,1.8109926652677923,0.014018675988712564,-0.003160727053908595,-0.0020309032821681622,-0.0051002227781403245,-5.516420653606247e-16,0.04729336481004156,-0.2528294755123898,-0.0030953991045955705,-1.7694179454963432e-16,-0.04367262554987765,9.540979117872439e-18,0.06719259142665121,-0.0022355727940747867,1.5265566588595902e-16,-1.3183898417423734e-16,-1.0529526562293228,-0.18765784426931098
21,0.0,0.4497524275853184,-3.976443803452289,-0.38060152285075627,-0.010739171545387102,0.01227430103701303,0.9559608295164649,8.591218014775137e-16,0.036865526211508404,0.34767464846824814,0.020276794340295754,2.3245294578089215e-16,0.5082241291811939,5.117434254131581e-17,0.4338008276538738,0.12479050628548619,-2.220446049250313e-16,2.211772431870429e-17,0.5537917124610752,0.2205376127286478
22,1.0,-1.0172358761446576,1.1176427403898566,0.08704303234093375,0.02192764659436662,-0.011483375910724765,0.19837215707124284,-3.3480163086352377e-16,-0.04039434980967437,-0.24933721000233394,0.017457369681745667,-3.642919299551295e-17,0.4499627029617148,2.867714746224159e-17,-0.08278218082671365,0.05865603446685033,-4.85722573273506e-17,-1.5612511283791264e-16,-1.3885600105036182,-0.05390638920878002
22,0.0,0.02594522956937318,0.561733193467024,0.18080283294515492,0.0007510568304956861,0.002893201986089774,0.6462371680834003,7.042977312465837e-16,0.07548950936664581,0.47203595220918987,0.002025638158296634,3.469446951953614e-17,0.06133845750058958,-2.255140518769849e-16,-0.12722888954026196,-0.9840139988788863,1.8041124150158794e-16,1.3877787807814457e-17,6.510466269237648,-0.34169084206775246
22,1.0,-1.0172358761446576,1.1176427403898566,0.08704303234093375,0.02192764659436662,-0.011483375910724765,0.19837215707124284,-3.3480163086352377e-16,-0.04039434980967437,-0.24933721000233394,0.017457369681745667,-3.642919299551295e-17,0.4499627029617148,2.867714746224159e-17,-0.08278218082671365,0.05865603446685033,-4.85722573273506e-17,-1.5612511283791264e-16,-1.3885600105036182,-0.05390638920878002
23,0.0,-0.8035520877589344,-0.26489577480088244,-0.26534718060471185,0.010729988023535184,-0.09154375768081291,-1.100094986836386,-3.469446951953614e-16,0.04992525816723584,0.009644573970882593,0.004777220455948875,-1.249000902703301e-16,0.405323342504038,-6.591949208711867e-17,-0.18881841992593631,-0.2806293248237348,2.7755575615628914e-17,-6.938893903907228e-17,-1.5534669653085902,-0.17697541517775675
24,0.0,0.09897668423511699,-4.261625887568386,-0.1904750571768363,0.036153039173042245,-0.05611956936368831,-0.3619075928934088,1.5785983631388945e-16,-0.04265219573402789,0.37304370081948074,-0.03308616340950001,-4.0245584642661925e-16,-0.6465031163310851,-3.5561831257524545e-17,-0.5337947858616245,0.14959525846867242,-1.1449174941446927e-16,-6.591949208711867e-17,-1.8399396913193897,0.008765905745290126
25,1.0,-0.3206658363652197,3.2859232520487516,-0.16020654376398674,0.028451763539484837,-0.011844259334814148,-0.3259981480623409,8.012254054667878e-17,0.08328880752172296,-0.06998610685152903,0.019282732240162477,-2.636779683484747e-16,0.229542224891093,-7.112366251504909e-17,-0.281114596107695,-0.0581400636495909,-7.632783294297951e-17,-4.163336342344337e-16,-2.424415839967282,-0.2859219746767809
25,1.0,-0.32066583636521956,3.2859232520487516,-0.16020654376398674,0.028451763539484864,-0.011844259334814235,-0.32599814806234084,1.214306433183765e-17,0.08328880752172305,-0.06998610685152905,0.019282732240162477,-2.498001805406602e-16,0.229542224891093,-7.45931094670027e-17,-0.2811145961076947,-0.05814006364959093,-2.42861286636753e-17,-4.163336342344337e-16,-2.4244158399672826,-0.2859219746767809
26,0.0,-1.7297342401640843,-3.3730799866045302,0.053265335037170604,0.010663114205483881,0.00896564649699566,-0.1264381263690196,-3.191891195797325e-16,0.03237147441009459,0.1145790983628055,-0.03243807087964491,-7.632783294297951e-16,-0.8119689532750338,-2.0816681711721685e-16,-0.0546906298001324,0.05826856151749128,5.551115123125783e-17,-1.8735013540549517e-16,-3.386139178460205,0.13927184465801465
27,1.0,0.36066612306529533,0.06985673468634784,0.1677074134320415,-0.013475920012412893,0.03024365588496703,-0.31753109444185024,-2.5825695748604716e-16,-0.04475294918979327,-0.13490140489990535,0.0017005346232856766,4.3021142204224816e-16,-0.3211798261939002,2.211772431870429e-17,0.5187542222473034,0.43716019960796004,2.636779683484747e-16,-1.1796119636642288e-16,1.525741153531031,0.17185347946817336
27,1.0,0.36066612306529533,0.06985673468634784,0.1677074134320415,-0.013475920012412893,0.03024365588496703,-0.31753109444185024,-2.5825695748604716e-16,-0.04475294918979327,-0.13490140489990535,0.0017005346232856766,4.3021142204224816e-16,-0.3211798261939002,2.211772431870429e-17,0.5187542222473034,0.43716019960796004,2.636779683484747e-16,-1.1796119636642288e-16,1.525741153531031,0.17185347946817336
