,label,PCA_feature_2,PCA_feature_10,PCA_feature_11,PCA_feature_13,PCA_feature_14,PCA_feature_16,PCA_feature_20,PCA_feature_25,PCA_feature_26,PCA_feature_33,PCA_feature_60,PCA_feature_129,PCA_feature_138,PCA_feature_147,PCA_feature_148,PCA_feature_150,PCA_feature_159,PCA_feature_160,PCA_feature_161,PCA_feature_167
1,1.0,-4.6052184687565125,-0.8498366100661547,-0.28826296747100194,0.2643551752775043,0.1269469915651668,-0.3867321600293256,0.4113485762129781,0.4637580048527461,0.010398756526089757,0.11905798272422044,-0.02703091490810676,2.2724877535296173e-16,-3.8163916471489756e-17,6.635317295611287e-17,-1.0755285551056204e-16,-3.625572064791527e-16,-1.6132928326584306e-16,1.1796119636642288e-16,-1.691355389077387e-17,2.5673907444456745e-16
2,1.0,-4.480450374651669,1.0900547678383576,1.5105111384613095,-0.6638556321671852,1.0373864969131075,-0.13681559100555368,-0.18095525999528883,-0.13343222629491927,-0.1752675955933502,-0.06816786491815552,-0.020939894912014145,6.175615574477433e-16,-6.245004513516506e-17,-3.5388358909926865e-16,-2.0469737016526324e-16,-1.214306433183765e-16,2.42861286636753e-17,-5.551115123125783e-17,1.457167719820518e-16,1.457167719820518e-16
2,0.0,0.9626202212005489,0.2796498460354071,0.18615013148581477,-1.064808321829548,0.2204641127157782,0.36638046983915434,0.9297961308595097,0.46224131003571217,-0.13754994169456142,0.1512795693096644,0.03445201058927929,2.5673907444456745e-16,1.5785983631388945e-16,-3.226585665316861e-16,1.2880321809127793e-16,-3.469446951953614e-17,-2.2768245622195593e-16,6.245004513516506e-17,9.71445146547012e-17,-3.8163916471489756e-17
3,0.0,0.7149419220625326,0.5402070590768442,-0.33379233346953585,-0.5047553204565768,0.03443521924832517,-0.45204208434643944,0.061726406378213944,0.1933991086482832,-0.5084288356932951,0.46376883357835313,0.0286299412727807,8.500145032286355e-17,1.0711917464156784e-16,2.0643209364124004e-16,3.2612801348363973e-16,2.47198095326695e-16,6.797947621484113e-17,-7.28583859910259e-17,-4.85722573273506e-17,4.85722573273506e-17
4,0.0,-0.32345898158569286,-0.13124717795682556,-0.26992077275628323,-0.05542168526297024,-0.2581477638742542,0.39365794054747744,-0.18996333592512724,0.5226228757918032,0.7459163760712835,-0.008684220280125027,-0.08148406458892843,-2.8449465006019636e-16,1.0685896612017132e-15,2.3765711620882257e-16,1.6653345369377348e-16,1.6393136847980827e-16,9.71445146547012e-17,-1.734723475976807e-17,-5.724587470723463e-17,-7.632783294297951e-17
5,0.0,1.62718882318057,-0.946172102230329,0.2280558987692313,0.5203234808654291,-0.32482304167132686,-0.45170876430606116,-1.1734823648715267,-0.2766245347679715,0.9777443286057295,-0.2298311788690174,-0.013078250355580495,-1.1102230246251565e-16,3.469446951953614e-17,-4.510281037539698e-16,4.510281037539698e-16,2.8362728832220796e-16,-1.8041124150158794e-16,1.0234868508263162e-16,9.020562075079397e-17,-2.7755575615628914e-17
5,1.0,-1.5942384344162133,-0.6799173718014545,-0.011314601747543151,-0.5657961172682708,-0.25395758507522903,-0.011801623312711357,-0.17206137100172939,-0.37397327546267883,0.14736920449600743,-0.3070134639335124,-0.026248774493403508,1.0755285551056204e-16,-2.7755575615628914e-17,1.3877787807814457e-17,3.9898639947466563e-17,5.898059818321144e-17,8.326672684688674e-17,0.0,2.0816681711721685e-17,-1.474514954580286e-17
7,0.0,0.23115796550844425,-1.1118167529741407,1.031234845371594,-0.32969183995046103,0.10165218168653914,-0.08623696945332185,-0.15019734481516342,0.23414142717976372,0.02639476969005162,0.7302351265295755,-0.08091254766646913,-6.938893903907228e-17,5.160802341031001e-17,2.671474153004283e-16,2.255140518769849e-16,2.636779683484747e-16,2.498001805406602e-16,2.7755575615628914e-17,-1.3877787807814457e-17,-9.71445146547012e-17
7,1.0,-0.7789744119904478,-0.889444782798545,-0.20459933363252664,-0.3988861509071059,-0.12053300486379842,-0.016597890798268414,0.5444066607351922,0.18377976355623837,0.042220902976259043,-0.43484397641799205,-0.1922553418591075,2.237793284010081e-16,1.0408340855860843e-17,8.023096076392733e-17,-5.984795992119984e-17,1.3877787807814457e-17,-5.898059818321144e-17,-1.4333152720258369e-16,1.734723475976807e-17,5.551115123125783e-17
8,1.0,-0.20380204211282232,-0.7693169334221892,-0.18373579687541958,-0.6445650674544503,-0.2196555971641439,-0.15223274991747865,0.516824369768467,0.27995722948736423,-0.17312610414114699,-0.07689267927424086,-0.20019283100893226,2.3765711620882257e-16,2.7755575615628914e-17,3.2959746043559335e-17,6.158268339717665e-17,9.367506770274758e-17,9.71445146547012e-17,2.6020852139652106e-17,-4.163336342344337e-17,-1.3877787807814457e-17
9,0.0,5.544455236248869,-0.9515344118954303,1.2063156715213166,-0.8780061342401277,0.5715417050811012,0.6507198939816027,-0.07386591942252552,-0.12886118817179443,0.3753792926536855,-0.018044801543325564,0.0043546976332378695,-2.983724378680108e-16,4.2500725161431774e-16,1.3183898417423734e-16,2.7755575615628914e-17,-1.5959455978986625e-16,0.0,2.0816681711721685e-17,-1.3877787807814457e-17,-6.245004513516506e-17
10,1.0,1.2447264568798149,-1.8051729786243098,-0.6354313204353641,1.6240195606379204,-0.9341690556370712,1.1246272433583613,-0.5082196761155867,-0.12811785495975364,0.17734888987220473,0.007514276739274572,-0.17889445073565785,-5.828670879282072e-16,-6.852157730108388e-17,-3.400058012914542e-16,1.5265566588595902e-16,-2.220446049250313e-16,6.938893903907228e-18,2.7755575615628914e-16,1.3877787807814457e-17,-1.8041124150158794e-16
11,1.0,0.1809925109640407,1.2329626975138992,-0.552705427448888,-0.6794359202675878,-0.49457639969069683,-0.44085041226769883,-0.016469346250358622,0.07367129214061305,-0.13181800397478416,0.1928510760516033,-0.1721138764518272,1.6653345369377348e-16,2.1510571102112408e-16,1.249000902703301e-16,2.5847379792054426e-16,1.1882855810441129e-16,-2.1033522146218786e-17,-5.898059818321144e-17,-8.153200337090993e-17,-2.42861286636753e-17
11,0.0,4.183979238323507,0.4538777896465602,0.8626336396647416,-0.29233234871035424,1.2014479231570354,2.0467886225263965,-0.18343733882701674,1.4733005440974127,-0.15033438128130114,-0.08354786183997676,0.11235991968890846,2.1510571102112408e-16,2.185751579730777e-16,7.632783294297951e-17,-3.5388358909926865e-16,-1.3877787807814457e-16,-1.97758476261356e-16,-1.0061396160665481e-16,-2.0816681711721685e-16,-4.510281037539698e-16
12,1.0,1.8731441696749336,-1.4543359161629772,-0.5877883588806635,0.5187670301651326,-0.358218241225184,1.0639236113171424,-0.42122038533521505,-0.9407371569808043,-0.24181243375116815,0.06903129558784943,0.12496148005438121,2.0816681711721685e-17,-1.9081958235744878e-17,-1.457167719820518e-16,2.5673907444456745e-16,1.214306433183765e-17,4.85722573273506e-17,1.0408340855860843e-16,1.3877787807814457e-17,-5.551115123125783e-17
13,0.0,2.7709088573651406,1.0228828892967339,0.49434221294927694,-1.5290869442701343,-0.6028072520624208,0.8395528592065891,1.1667385054188177,-0.6760617190160199,0.363822342310262,0.9007219353226078,0.08676698860898518,3.469446951953614e-17,1.3877787807814457e-17,-1.0408340855860843e-16,-3.8163916471489756e-17,-1.8388068845354155e-16,4.163336342344337e-17,-1.97758476261356e-16,1.1102230246251565e-16,1.474514954580286e-16
13,1.0,-0.05269255231957361,-0.1576968938725828,-0.6612332512435453,-0.4230792403460528,-1.0284257389383498,1.1058616581428877,0.8420878384560325,-0.09660111717693576,-0.02862370517267564,0.046080180786187794,-0.09864316511505417,2.983724378680108e-16,3.157196726277789e-16,-2.905661822261152e-16,3.7903707950093235e-16,-1.734723475976807e-17,7.727650984390433e-17,2.220446049250313e-16,6.938893903907228e-17,-6.938893903907228e-17
16,1.0,0.6243642119290396,0.6410299209980173,-0.6379225603215984,-0.04476600780324577,-1.045421725087574,0.1237139926187134,-0.06907628336642387,0.10104055179419932,-0.3648025896846078,-0.08079268143787678,0.03646316477301435,2.8449465006019636e-16,1.0061396160665481e-16,-2.5673907444456745e-16,-8.326672684688674e-17,-1.2836953722228372e-16,3.469446951953614e-17,1.3183898417423734e-16,-5.637851296924623e-18,1.0408340855860843e-16
16,0.0,0.898904053466962,-1.3162205339330184,1.0003084286345914,-0.7300681454249596,0.2805418963968743,0.0176162114948218,-0.34603738542542994,-0.1625181354365434,0.6599401468167795,-0.019705531187611588,-0.029807818826167922,2.979929671076409e-16,-1.0408340855860843e-17,3.434752482434078e-16,2.6020852139652106e-16,2.229119666630197e-16,7.45931094670027e-17,9.454242944073599e-17,-1.474514954580286e-16,-2.2898349882893854e-16
17,1.0,-1.845683555933669,0.5108495328511077,-0.30276324916396796,0.5469624026601853,0.4397709063728723,-0.3181188243637705,0.010838712972268152,0.3696356041376995,0.14049702460842506,-0.29064507315229626,0.06176584750124339,2.0469737016526324e-16,1.726049858596923e-16,4.85722573273506e-17,-1.700029006457271e-16,-4.336808689942018e-17,-2.185751579730777e-16,-9.367506770274758e-17,-5.204170427930421e-17,1.8214596497756474e-16
17,0.0,-1.0796895583547086,0.8892044424669652,0.06665466946395551,0.6912924486053481,-0.893996606869264,-0.5541694729338245,0.12859558780493152,-0.2473114348888294,0.7276842748229748,0.09645155421828387,-0.07090152579273679,2.658463726934457e-16,-2.489328188026718e-16,-1.717376241217039e-16,1.3183898417423734e-16,2.3245294578089215e-16,-1.1796119636642288e-16,-1.2836953722228372e-16,8.760353553682876e-17,-2.42861286636753e-16
18,1.0,-1.859027036038269,0.14640159506338438,-0.8175089565810854,-0.4218714253889344,-0.062028913724108896,-0.5509097616362273,0.0007460720043836952,0.4539579781996067,-0.009212511024107556,-0.09231837481976049,-0.1338550394646694,2.393918396847994e-16,3.2959746043559335e-16,4.85722573273506e-17,1.734723475976807e-18,2.6020852139652106e-17,-6.938893903907228e-18,5.377642775528102e-17,-4.163336342344337e-17,-3.122502256758253e-17
18,0.0,-1.3228061117491239,1.7425082381119381,-0.3726193614570339,1.1505332972177849,0.1453844882634767,-0.8321923901783782,0.13733214760311405,-0.004358430387980661,-0.316205454396958,-0.29616864573025264,-0.10611821538810955,2.498001805406602e-16,-4.163336342344337e-17,9.71445146547012e-17,-2.7582103268031233e-16,0.0,7.979727989493313e-17,-4.926614671774132e-16,2.2898349882893854e-16,-1.0061396160665481e-16
19,1.0,-2.016409657068404,-0.06031719580777377,-0.2880084125474631,-0.05616356070228241,0.15156333754167356,0.1670295811888063,0.15681157332809212,0.22486828198114578,-0.07927569607195498,0.1341365078159688,0.21722186671340846,6.245004513516506e-17,-3.122502256758253e-17,1.0408340855860843e-16,-1.4051260155412137e-16,5.204170427930421e-17,2.7755575615628914e-17,-1.0755285551056204e-16,3.122502256758253e-17,7.28583859910259e-17
19,0.0,3.567551603698655,-0.7658231463152272,0.5326028321677592,0.4514658674472935,1.1166585988733837,-0.24284760817549395,0.32451357354925503,-0.5410251333514193,-0.02419403721940591,0.021620756662798862,-0.2083839989169448,-2.237793284010081e-16,-3.469446951953614e-17,2.480654570646834e-16,1.0408340855860843e-16,3.2959746043559335e-17,-2.0816681711721685e-17,2.0816681711721685e-17,-5.681219383824043e-17,4.163336342344337e-17
20,0.0,0.37605737600273575,-0.7121431888388773,-0.5018354041152719,-0.32731336216093093,0.9447267777192374,-0.7868667552817818,-0.3560789856877965,0.6850260444385783,-0.9122951950257987,-0.25323852444246714,-0.13345629560529473,2.3245294578089215e-16,1.8388068845354155e-16,3.9985376121265404e-16,3.2439329000766293e-16,2.914335439641036e-16,9.71445146547012e-17,-1.43982048506075e-16,1.3877787807814457e-16,-1.3183898417423734e-16
20,1.0,-0.5680045537097216,-0.1622780588155388,-0.5029380279327295,-0.4849653902837925,0.058881795293742795,0.3019694850718221,-0.1783860850409198,0.11914794641057648,-0.058482866024282765,0.3384672855497339,-0.24795129148857353,8.543513119185775e-17,-4.391018798566293e-17,-9.150666335777657e-17,-1.6479873021779667e-16,-3.122502256758253e-17,1.734723475976807e-18,4.85722573273506e-17,-1.8214596497756474e-17,1.1796119636642288e-16
21,0.0,2.9048589899775985,-1.694256599016294,0.8570654498995298,-0.18174033141447402,0.5842610531410523,-0.37675036110414883,0.11309037826567464,-0.13674481980075254,0.35894194845299,0.34735967283681396,0.15518701783397598,-1.3877787807814457e-17,-7.632783294297951e-17,1.3877787807814457e-16,4.36282954208167e-16,2.0816681711721685e-16,4.5102810375396984e-17,1.734723475976807e-16,5.724587470723463e-17,-6.245004513516506e-17
21,1.0,5.132915249496049,-0.8633236903208307,-0.4720285614369718,1.00344418033113,-1.0956840385236188,-0.5225321525407173,-0.19277315841282278,-0.028293138821953612,-0.5911079512861662,-0.11387561285714652,-0.14492743910806655,1.0408340855860843e-16,-8.326672684688674e-17,9.020562075079397e-17,-1.0408340855860843e-16,-8.673617379884035e-17,-4.163336342344337e-17,1.1796119636642288e-16,0.0,-2.5326962749261384e-16
22,0.0,5.312152024223375,-0.12459624324624208,-0.03218357460105281,-0.3511761513312318,0.27623182984816314,-0.7503811560271108,0.5294002448178042,-0.007877396828315307,0.15656219766031707,0.01736862592431601,-0.19382765620529477,-7.73686670285656e-16,5.551115123125783e-16,-5.273559366969494e-16,5.898059818321144e-17,-1.2923689896027213e-16,-2.706168622523819e-16,-3.677613769070831e-16,3.3306690738754696e-16,-3.469446951953614e-16
22,1.0,-1.2963227755230022,-0.1641788314101048,-0.10676429109513093,-0.3116541910798907,0.17806520582675378,0.08795009309239729,0.039528568595267086,-0.09383049037692062,0.1538360546043477,0.029625945883193533,-0.14283031102720672,2.636779683484747e-16,-2.3592239273284576e-16,6.938893903907228e-17,-3.677613769070831e-16,-8.326672684688674e-17,7.806255641895632e-17,-7.28583859910259e-17,3.209238430557093e-17,7.28583859910259e-17
23,1.0,-2.575769421154228,-0.7055354635240138,0.08033118375368013,-0.4305228209236071,0.2430854729195203,0.013067363072775923,-0.08192292643092033,0.0025888304635074966,0.0744620036192822,0.0860355664797724,-0.1578639956471275,2.3245294578089215e-16,-1.249000902703301e-16,-2.42861286636753e-17,-3.95516952522712e-16,-6.931101200792489e-17,-1.7520707107365752e-16,-1.1622647289044608e-16,2.1597307275911248e-16,1.734723475976807e-16
23,0.0,-0.3631990493643875,0.4428900949005126,0.6740628790354013,0.4335938166795049,0.2508084021707179,0.10994272448961562,0.19554366537096163,0.07962525860831204,0.27607958211319056,0.1423465527726058,-0.05893508554573741,1.249000902703301e-16,-5.117434254131581e-17,1.734723475976807e-17,-4.85722573273506e-17,1.0018028073766061e-16,2.42861286636753e-17,-3.469446951953614e-17,-3.122502256758253e-17,9.8879238130678e-17
24,0.0,4.512703036674612,0.010151144860613318,-0.8499919134879753,-0.2251107749437938,-0.14291585264761003,-0.003890370965961773,0.19944583437955654,-0.22776434737480877,0.17558704366636313,-0.03163730028500342,0.15418025062878082,8.500145032286355e-17,2.5500435096859064e-16,-1.734723475976807e-17,-1.3877787807814457e-16,9.974659986866641e-17,-2.0122792321330962e-16,5.551115123125783e-17,-2.3245294578089215e-16,-1.5265566588595902e-16
24,1.0,-2.643113964971724,-0.5798295002339666,-0.21210455096584743,-0.4386123961494392,0.03041641601148068,0.09124521550854497,-0.1302408908267716,-0.008998826759152895,0.359286756108407,0.1733979176219824,0.09466797826120328,3.469446951953614e-18,-8.500145032286355e-17,-2.42861286636753e-17,-2.185751579730777e-16,2.5153490401663703e-17,1.3877787807814457e-17,-1.0061396160665481e-16,1.8041124150158794e-16,2.7755575615628914e-16
25,0.0,0.3318777704552622,0.13679150938943466,1.0647811186230176,-0.3181151820837622,-0.418629002361994,0.37910887378997016,0.2853696893011687,0.25415583881392145,-0.38995086578641364,-0.23406143412838754,0.29546342295222094,-1.8735013540549517e-16,2.255140518769849e-16,3.122502256758253e-16,1.249000902703301e-16,2.7755575615628914e-16,-2.6020852139652106e-17,1.713039432527097e-16,-1.942890293094024e-16,-1.0755285551056204e-16
27,0.0,2.408488163976055,0.6134900915827254,-0.33154959653888905,0.1818697222389149,1.1445211723245934,0.4288047750730804,-0.08791154884460864,0.5225180614151749,-0.2642826228439976,-0.4394960649638943,0.10106001749788197,-1.0408340855860843e-16,2.740863092043355e-16,3.139849491518021e-16,7.846913223363838e-17,2.480654570646834e-16,-8.001412032943023e-17,-1.717376241217039e-16,-1.9081958235744878e-17,1.5612511283791264e-17
27,1.0,-2.3786835997246696,-0.03169818369671013,-0.14771200136514007,-0.2725928088563029,-0.8697352504411551,0.43219637271467737,-0.7077708753833144,-0.20136808823908647,-0.31351933345018085,0.5387689923595649,-0.035459517632074763,1.8323016715005025e-16,-4.0939474033052647e-16,3.0357660829594124e-16,2.255140518769849e-16,2.1196152472091612e-16,1.4224732503009818e-16,-9.020562075079397e-17,1.8041124150158794e-16,-2.393918396847994e-16
28,0.0,1.7405027972976859,0.388947381120808,0.6591076036263189,0.2775495024871531,1.06459639256239,-0.39451275452231266,0.0737596196149183,-0.784740069319703,-0.41162947253091575,-0.010154488168181597,0.07084781553271138,-1.0842021724855044e-17,1.43982048506075e-16,-8.673617379884035e-17,-1.214306433183765e-16,-4.85722573273506e-17,-2.2898349882893854e-16,2.7755575615628914e-17,6.245004513516506e-17,-4.85722573273506e-17
28,1.0,-1.5002218144058395,-0.24884144496736438,-0.6415138971430878,-0.32255475740810235,0.15572785442493353,-0.38521205928383173,-0.4938871254481434,0.21518556057221316,0.16509218513266508,-0.1918875798937279,-0.04370210730618212,-9.627715291671279e-17,3.0704605524789486e-16,7.112366251504909e-17,2.8796409701215e-16,-4.85722573273506e-17,1.9081958235744878e-16,1.7954387976359953e-16,1.3877787807814457e-17,-1.734723475976807e-18
29,1.0,-1.272071910450281,-0.38786512887466934,-0.14983744128534593,-0.6008402161754839,0.08887795282538424,0.08202261633378774,-0.02403206909229788,0.04677690067795253,0.1533307801420009,-0.08459039669314213,-0.15261937082286045,1.8388068845354155e-16,-1.0928757898653885e-16,8.673617379884035e-18,-2.0946785972419946e-16,-2.0816681711721685e-17,-8.326672684688674e-17,3.469446951953614e-18,4.163336342344337e-17,1.5092094240998222e-16
